Time_s,R_index,RR_interval_s,HR_BPM
3.046,130,1.024,58.59375
3.64,205,0.6,100.0
4.236,281,0.608,98.6842105263158
4.9,362,0.648,92.5925925925926
5.562,445,0.664,90.36144578313252
6.24,529,0.672,89.28571428571428
6.897,614,0.68,88.23529411764706
7.597,699,0.68,88.23529411764706
8.255,784,0.68,88.23529411764706
8.9,865,0.648,92.5925925925926
9.419,929,0.512,117.1875
10.162,1021,0.736,81.52173913043478
10.763,1097,0.608,98.6842105263158
11.359,1171,0.592,101.35135135135135
11.935,1244,0.584,102.73972602739727
12.556,1321,0.616,97.40259740259741
13.228,1405,0.672,89.28571428571428
14.006,1503,0.784,76.53061224489795
14.776,1598,0.76,78.94736842105263
15.577,1698,0.8,75.0
16.387,1800,0.816,73.52941176470588
17.249,1907,0.856,70.09345794392523
18.086,2012,0.84,71.42857142857143
18.902,2114,0.816,73.52941176470588
19.71,2216,0.816,73.52941176470588
20.519,2315,0.792,75.75757575757575
21.293,2413,0.784,76.53061224489795
22.043,2507,0.752,79.7872340425532
22.683,2586,0.632,94.9367088607595
23.02,2627,0.328,182.92682926829266
23.495,2688,0.488,122.95081967213115
24.159,2770,0.656,91.46341463414633
24.803,2851,0.648,92.5925925925926
25.437,2930,0.632,94.9367088607595
26.098,3013,0.664,90.36144578313252
26.804,3101,0.704,85.22727272727273
27.494,3188,0.696,86.20689655172414
28.222,3279,0.728,82.41758241758242
28.981,3373,0.752,79.7872340425532
29.73,3467,0.752,79.7872340425532
30.477,3561,0.752,79.7872340425532
31.236,3654,0.744,80.64516129032258
31.915,3740,0.688,87.2093023255814
32.594,3825,0.68,88.23529411764706
33.259,3908,0.664,90.36144578313252
33.947,3993,0.68,88.23529411764706
34.612,4077,0.672,89.28571428571428
35.303,4160,0.664,90.36144578313252
35.969,4243,0.664,90.36144578313252
36.652,4331,0.704,85.22727272727273
37.376,4422,0.728,82.41758241758242
38.123,4515,0.744,80.64516129032258
38.869,4609,0.752,79.7872340425532
39.618,4702,0.744,80.64516129032258
40.325,4790,0.704,85.22727272727273
41.007,4876,0.688,87.2093023255814
41.721,4962,0.688,87.2093023255814
42.394,5049,0.696,86.20689655172414
42.788,5098,0.392,153.0612244897959
43.105,5137,0.312,192.30769230769232
43.779,5222,0.68,88.23529411764706
44.476,5309,0.696,86.20689655172414
45.199,5399,0.72,83.33333333333334
45.945,5493,0.752,79.7872340425532
46.693,5586,0.744,80.64516129032258
47.505,5688,0.816,73.52941176470588
48.244,5780,0.736,81.52173913043478
48.966,5870,0.72,83.33333333333334
49.616,5952,0.656,91.46341463414633
50.264,6031,0.632,94.9367088607595
50.887,6110,0.632,94.9367088607595
51.511,6187,0.616,97.40259740259741
52.141,6266,0.632,94.9367088607595
52.749,6343,0.616,97.40259740259741
53.35,6418,0.6,100.0
53.958,6494,0.608,98.6842105263158
54.568,6570,0.608,98.6842105263158
55.191,6648,0.624,96.15384615384616
55.841,6727,0.632,94.9367088607595
56.457,6805,0.624,96.15384615384616
57.095,6883,0.624,96.15384615384616
57.738,6964,0.648,92.5925925925926
58.394,7047,0.664,90.36144578313252
59.097,7136,0.712,84.26966292134831
59.806,7223,0.696,86.20689655172414
60.501,7312,0.712,84.26966292134831
61.206,7399,0.696,86.20689655172414
61.88,7483,0.672,89.28571428571428
62.541,7567,0.672,89.28571428571428
63.212,7650,0.664,90.36144578313252
63.877,7733,0.664,90.36144578313252
64.526,7814,0.648,92.5925925925926
65.167,7894,0.64,93.75
65.823,7976,0.656,91.46341463414633
66.486,8060,0.672,89.28571428571428
67.227,8151,0.728,82.41758241758242
67.931,8238,0.696,86.20689655172414
68.626,8326,0.704,85.22727272727273
69.359,8415,0.712,84.26966292134831
70.078,8508,0.744,80.64516129032258
70.778,8595,0.696,86.20689655172414
71.512,8686,0.728,82.41758241758242
72.202,8773,0.696,86.20689655172414
72.917,8862,0.712,84.26966292134831
73.612,8949,0.696,86.20689655172414
74.291,9035,0.688,87.2093023255814
74.971,9118,0.664,90.36144578313252
75.636,9200,0.656,91.46341463414633
76.296,9283,0.664,90.36144578313252
76.957,9368,0.68,88.23529411764706
77.631,9452,0.672,89.28571428571428
78.293,9535,0.664,90.36144578313252
78.953,9615,0.64,93.75
79.587,9696,0.648,92.5925925925926
80.236,9777,0.648,92.5925925925926
80.894,9859,0.656,91.46341463414633
81.561,9942,0.664,90.36144578313252
82.189,10021,0.632,94.9367088607595
82.805,10098,0.616,97.40259740259741
83.406,10173,0.6,100.0
83.998,10247,0.592,101.35135135135135
84.619,10323,0.608,98.6842105263158
85.254,10401,0.624,96.15384615384616
85.898,10482,0.648,92.5925925925926
86.537,10564,0.656,91.46341463414633
87.217,10649,0.68,88.23529411764706
87.958,10742,0.744,80.64516129032258
88.708,10836,0.752,79.7872340425532
89.433,10927,0.728,82.41758241758242
90.157,11017,0.72,83.33333333333334
90.853,11104,0.696,86.20689655172414
91.532,11189,0.68,88.23529411764706
92.207,11273,0.672,89.28571428571428
92.935,11361,0.704,85.22727272727273
93.661,11453,0.736,81.52173913043478
94.406,11547,0.752,79.7872340425532
95.152,11641,0.752,79.7872340425532
95.937,11738,0.776,77.31958762886597
96.685,11832,0.752,79.7872340425532
97.439,11926,0.752,79.7872340425532
98.162,12017,0.728,82.41758241758242
98.879,12106,0.712,84.26966292134831
99.549,12190,0.672,89.28571428571428
100.202,12272,0.656,91.46341463414633
100.844,12352,0.64,93.75
101.494,12433,0.648,92.5925925925926
102.179,12518,0.68,88.23529411764706
102.859,12603,0.68,88.23529411764706
103.524,12686,0.664,90.36144578313252
104.213,12773,0.696,86.20689655172414
104.908,12860,0.696,86.20689655172414
105.624,12949,0.712,84.26966292134831
106.391,13045,0.768,78.125
107.171,13142,0.776,77.31958762886597
107.963,13241,0.792,75.75757575757575
108.728,13337,0.768,78.125
109.465,13429,0.736,81.52173913043478
110.171,13515,0.688,87.2093023255814
110.861,13600,0.68,88.23529411764706
111.494,13680,0.64,93.75
112.108,13759,0.632,94.9367088607595
112.758,13837,0.624,96.15384615384616
113.389,13915,0.624,96.15384615384616
113.968,13992,0.616,97.40259740259741
114.608,14071,0.632,94.9367088607595
